
Verse App Analytics
Community Dashboard
Support
Overview
Web3
All Time
24 Feb - 23 Mar
24 Mar - 23 Apr
Visitors

2,891

Pageviews

8,772

Active Apps

84

Custom Events

3,761

Community Trends
3/24
3/25
3/26
3/27
0
800
1600
2400
3200

App Leaderboard
Search apps...
Bot Activity ▾
Visitors
Events
#	App	Visitors	Pages/Visit	Events	Bounce	Depth	Sources	Bot Activity
1	hub.vgdh.io	621	5.8	76	34%	5.8	13	Low
2	niti.com.ng	318	3.6	450	8%	3.6	5	Low
3	abubakker-cryptoverse.vercel.app	250	2.4	1,804	28%	2.4	0	Low
4	verse-gateway-chemla-c3c5bce3.base44.app	242	2.1	24	87%	2.1	1	Low
5	verse-events-dapp.vercel.app	231	2.4	0	30%	2.4	0	Medium
6	grace-daniel224.vercel.app	166	1.5	402	71%	1.5	1	Low
7	decentralized-architect-copy-af6496a2.base44.app	136	2.4	17	69%	2.4	1	Low
8	paulina1-theta.vercel.app	118	1.9	221	58%	1.9	1	Low
9	sammiejay.base44.app	112	2.3	3	33%	2.3	0	Medium
10	shojib-ahmed.vercel.app	111	2.1	0	66%	2.1	3	Low
11	verselorestory.netlify.app	90	2.4	0	23%	2.4	1	NA
12	crypto-lens-5fa22161nikky456.base44.app	71	2.0	3	62%	2.0	1	NA
13	naymer.vercel.app	61	2.0	5	61%	2.0	3	NA
14	verse-cynthiajoyce-crypto.base44.app	47	1.4	0	81%	1.4	1	NA
15	verse-nexus-daavy.base44.app	43	1.5	3	79%	1.5	2	NA
16	aderojuisaac32.vercel.app	30	1.3	5	83%	1.3	2	NA
17	ais-pre-4izmz2y7fe6ziutu3s36ye-478186802263.europe-west2.run.app	25	1.0	2	100%	1.0	2	NA
18	saifalshammari01.vercel.app	20	1.4	11	70%	1.4	0	NA
19	verse-boost-click.base44.app	16	4.9	1	63%	4.9	1	NA
20	verseelectoralhub0.vercel.app	16	1.0	0	100%	1.0	0	NA
21	zayed-tau.vercel.app	15	1.1	3	87%	1.1	1	NA
22	jamestows1-quiz-master-quest.base44.app	15	1.1	0	93%	1.1	0	NA
23	verse-cricketgame.netlify.app	13	1.5	0	85%	1.5	1	NA
24	valerie02.vercel.app	13	2.3	10	23%	2.3	0	NA
25	desiboii.vercel.app	10	1.1	0	90%	1.1	0	NA
26	elizabethmary.base44.app	8	1.3	0	88%	1.3	0	NA
27	lordthompson914.vercel.app	8	1.0	0	100%	1.0	0	NA
28	competent-crimson-uzavhr1mfs.edgeone.app	7	1.0	0	—	—	0	NA
29	preview-sandbox--69c1ade963e90728c3c5bce3.base44.app	7	1.1	0	86%	1.1	1	NA
30	ais-dev-slbxx2nwuwb5pcqc4nkz5e-495534316814.europe-west2.run.app	6	5.2	12	0%	5.2	1	NA
31	ais-dev-fhile6fobofkipdkkq5tax-21246162805.asia-southeast1.run.app	5	3.2	700	0%	3.2	1	NA
32	agbapacker.base44.app	4	1.5	0	50%	1.5	0	NA
33	preview--verse-gateway-chemla-c3c5bce3.base44.app	4	1.5	2	50%	1.5	1	NA
34	xvdhes1.vercel.app	4	1.0	0	100%	1.0	0	NA
35	officialchaserice0100.vercel.app	3	1.0	0	100%	1.0	0	NA
